review_id,case_id,ai_root_cause,ai_confidence,human_decision,human_root_cause,correction_reason,reviewer,timestamp,verification_status,evidence_missed
REV-0001,VLAN-001,"Fa0/6 is a static access port assigned to VLAN 20 instead of VLAN 10, placing PC-A in a different broadcast domain than FileServer1.",0.88,ACCEPTED,,,J. Alvarez (Instructor),2026-07-14T09:12:00Z,VERIFIED,
REV-0002,IFACE-001,"GigabitEthernet0/0 on RemoteR is administratively down, isolating the entire office subnet.",0.95,ACCEPTED,,,J. Alvarez (Instructor),2026-07-14T09:20:00Z,VERIFIED,
REV-0003,ROUTE-002,EdgeR has no default route; Gateway of last resort is not set despite a healthy link to the ISP.,0.9,ACCEPTED,,,M. Chen (TA),2026-07-15T14:02:00Z,NOT_VERIFIED,
REV-0004,TRUNK-001,"SW2's Gi0/1 is a static access port in VLAN 1 rather than a trunk, so VLAN 10 traffic from SW1 cannot cross to SW2.",0.85,ACCEPTED,,,M. Chen (TA),2026-07-15T14:11:00Z,VERIFICATION_FAILED,
REV-0005,SEC-001,Fa0/15 entered Secure-shutdown after a port-security violation when a second MAC address appeared on a single-MAC-limited port.,0.93,ACCEPTED,,,J. Alvarez (Instructor),2026-07-16T10:45:00Z,VERIFIED,
REV-0006,NAT-002,"The NAT pool is too small for the number of inside hosts, causing intermittent internet loss.",0.62,EDITED,"The NAT pool statement is missing the 'overload' keyword. It's not just pool size - without overload, each public address can only serve ONE inside host at a time instead of being shared via PAT, so exhaustion happens far faster than the raw pool-size math would suggest.",AI correctly spotted pool exhaustion from the miss counter but didn't call out the missing overload keyword as the specific configuration defect. Edited to name the exact line to fix rather than a general capacity explanation.,M. Chen (TA),2026-07-16T15:30:00Z,NOT_VERIFIED,The absence of the 'overload' keyword on the ip nat inside source line was visible in the running-config excerpt but not called out specifically.
REV-0007,MASK-001,PC-D has an incorrect subnet mask that prevents it from communicating with other hosts on the VLAN.,0.7,EDITED,PC-D's mask is 255.255.255.192 (/26) versus the rest of the VLAN's 255.255.255.0 (/24). Edited to specify the exact mismatched values so the student fixes the right field instead of guessing which mask is 'correct'.,AI identified the right category of fault but stated it too generally to act on directly. Reviewer added the specific observed values from the evidence.,J. Alvarez (Instructor),2026-07-17T11:05:00Z,NOT_VERIFIED,The peer PC's differing subnet mask value in the second ipconfig block was present but not directly quoted in the diagnosis.
REV-0008,WIFI-002,Guest devices cannot reach the printer because of a wireless configuration problem on the WLAN.,0.55,EDITED,"This is not a misconfiguration - P2P Blocking Action is intentionally set to Drop on the GuestWiFi profile for security. Edited to reclassify this as a policy/design trade-off requiring a stakeholder decision, not a defect to silently fix.",AI treated an intentional security control as a bug. Edited so the case is framed correctly: confirm whether guest printing should be allowed before changing anything.,M. Chen (TA),2026-07-17T16:40:00Z,NOT_VERIFIED,The 'P2P Blocking Action: Drop' field in show wlan 3 was supplied but its status as an intentional security control (not a bug) wasn't recognized.
REV-0009,ACL-002,The intranet portal was unreachable because of a routing problem between the users' subnet and the server subnet.,0.58,REJECTED,"Routing was never the issue. show access-lists WEB-FILTER showed an explicit 'deny tcp any any eq 80' applied inbound on the users' interface. The true fault is the ACL blocking HTTP, which also explains why SMB file sharing to the same server kept working.","AI overweighted the 'can't reach one service on a server' symptom toward a routing explanation and did not sufficiently use the supplied show access-lists output, which directly contained the answer.",J. Alvarez (Instructor),2026-07-18T09:55:00Z,NOT_VERIFIED,The 'deny tcp any any eq 80' line in show access-lists WEB-FILTER was present in the evidence the AI was given but wasn't cited in its reasoning at all.
REV-0010,DNS-001,DNS was unreachable because of a routing problem between PC-C and the DNS server.,0.5,REJECTED,"Routing was fine - PC-C successfully pinged 8.8.8.8 by IP, which rules out a routing fault. show run confirmed the DHCP pool was hard-coded to advertise dns-server 10.10.10.99, a non-existent host, instead of the real internal DNS server at 10.10.10.53.","AI overweighted the 'name resolution fails' symptom and failed to use the successful raw-IP ping as evidence against a routing cause, and did not cross-check the DHCP pool's dns-server value against the known-correct DNS host.",M. Chen (TA),2026-07-18T13:20:00Z,NOT_VERIFIED,The successful 'ping 8.8.8.8' by raw IP (which rules out a routing fault) and the DHCP pool's dns-server value were both in the supplied evidence but not used to challenge the routing hypothesis.
