case_id,title,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept,severity,expected_evidence,expected_next_command,expected_fix,verification_command,difficulty,status,source,created_at,updated_at,created_by
VLAN-001,PC on wrong VLAN cannot reach file server,"PC-A gets an IP address from DHCP and can ping its own default gateway, but cannot reach FileServer1 (10.10.10.50), which other PCs in the same office reach without issue.","PC-A is connected to SW1 Fa0/6. SW1 Fa0/6 should be in VLAN 10 (Sales) with FileServer1. SW1 uplinks to R1 on Gi0/1 as an 802.1Q trunk carrying VLANs 10,20,30.","SW1# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2
10   Sales                            active    Fa0/3, Fa0/4, Fa0/5
20   Engineering                      active    Fa0/6, Fa0/7
30   Guest                            active    Fa0/8

SW1# show interfaces fa0/6 switchport
Name: Fa0/6
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Access Mode VLAN: 20 (Engineering)
Voice VLAN: none
","Fa0/6 (PC-A's port) is statically assigned to VLAN 20 (Engineering) instead of VLAN 10 (Sales), placing PC-A in a different broadcast domain than FileServer1.",Layer 2,VLAN,Medium,"show vlan brief confirms VLAN 10 exists and holds FileServer1's segment; show interfaces fa0/6 switchport shows Fa0/6 access VLAN is 20, not 10.",show mac address-table interface fa0/6,switchport access vlan 10 on interface Fa0/6,show vlan brief; then ping 10.10.10.50 from PC-A,Easy,active,seed,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,NetSage AI Course Dataset
GW-001,"PC cannot leave local subnet, gateway field blank","PC-B (10.10.20.15/24) can ping other PCs on the same VLAN 20 segment but cannot ping anything outside the subnet, including the router interface.","PC-B connects to SW2 Fa0/3 (VLAN 20). R1 subinterface Gi0/1.20 is 10.10.20.1/24, the intended default gateway for VLAN 20.","PC-B> ipconfig /all
IP Address..........: 10.10.20.15
Subnet Mask..........: 255.255.255.0
Default Gateway......: 
DNS Servers..........: 10.10.20.1

R1# show ip interface brief
Interface              IP-Address      OK? Method Status    Protocol
GigabitEthernet0/1.20  10.10.20.1      YES manual up        up
","PC-B has no default gateway configured (blank field), so any traffic destined outside 10.10.20.0/24 cannot be routed off the local segment.",Layer 3,Default Gateway,High,ipconfig /all on PC-B shows an empty Default Gateway field even though R1's subinterface 10.10.20.1 is up/up and reachable on the same subnet.,ping 10.10.20.1 from PC-B,Set PC-B's default gateway to 10.10.20.1,ipconfig on PC-B; ping 10.10.20.1; tracert to an external host,Easy,active,seed,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,NetSage AI Course Dataset
DHCP-001,New PCs get APIPA addresses instead of DHCP leases,All newly connected PCs in VLAN 30 receive 169.254.x.x addresses instead of addresses in the expected 10.10.30.0/24 range.,R1 is configured to act as the DHCP server for VLAN 30 clients connected through SW3.,"R1# show ip dhcp pool
% No DHCP pools configured

R1# show running-config | include ip dhcp
R1# show ip interface brief
Interface              IP-Address      OK? Method Status    Protocol
GigabitEthernet0/1.30  10.10.30.1      YES manual up        up
","No DHCP pool exists on R1 for the 10.10.30.0/24 network, so clients time out on DHCPDISCOVER and self-assign an APIPA address.",Layer 7,DHCP,Critical,"show ip dhcp pool returns no configured pools, while the gateway interface Gi0/1.30 is up with the correct network.",show running-config | section dhcp,Create pool: ip dhcp pool VLAN30; network 10.10.30.0 255.255.255.0; default-router 10.10.30.1; dns-server 8.8.8.8,show ip dhcp binding; ipconfig /renew on client,Medium,active,seed,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,NetSage AI Course Dataset
DNS-001,PCs can ping by IP but 'website not found' by name,"PC-C can successfully ping 8.8.8.8 and other external IPs, but browsing to www.internal-app.local or any hostname fails with a name resolution error.",PC-C is a DHCP client on VLAN 10. R1 is the DHCP server. The intended internal DNS server is Server1 at 10.10.10.53.,"PC-C> ipconfig /all
IP Address..........: 10.10.10.25
Default Gateway......: 10.10.10.1
DNS Servers..........: 10.10.10.99

PC-C> ping 8.8.8.8
Reply from 8.8.8.8: bytes=32 time=1ms TTL=118

R1# show run | section dhcp pool VLAN10
ip dhcp pool VLAN10
 network 10.10.10.0 255.255.255.0
 default-router 10.10.10.1
 dns-server 10.10.10.99
","The DHCP pool hands out DNS server 10.10.10.99, which is not Server1 (10.10.10.53) and does not respond to DNS queries, so name resolution fails while raw IP connectivity is fine.",Layer 7,DNS,Medium,ipconfig /all shows DNS Servers 10.10.10.99; raw ping to 8.8.8.8 succeeds (ruling out routing); dhcp pool config confirms dns-server 10.10.10.99 is being advertised instead of .53.,ping 10.10.10.99 and ping 10.10.10.53 from R1,"Change dns-server to 10.10.10.53 in dhcp pool VLAN10, then have clients renew",nslookup www.internal-app.local on PC-C after renew,Medium,active,seed,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,NetSage AI Course Dataset
ROUTE-001,Branch router cannot reach HQ server subnet,"PCs at the branch site can reach each other and the branch router, but cannot reach the HQ server subnet 172.16.5.0/24.","BranchR connects to HQR via a serial link (Se0/0/0, 192.168.100.2/30). HQR owns 172.16.5.0/24 on its LAN. No dynamic routing protocol is in use; routes are static.","BranchR# show ip route
Gateway of last resort is not set

     172.16.1.0/24 is directly connected, GigabitEthernet0/0
     192.168.100.0/30 is directly connected, Serial0/0/0

BranchR# ping 192.168.100.1
!!!!!
Success rate is 100 percent

BranchR# ping 172.16.5.10
.....
Success rate is 0 percent
","BranchR has no route to 172.16.5.0/24. The serial link to HQR is up (192.168.100.1 is reachable), but no static route was added for the HQ server subnet.",Layer 3,Static Routing,High,"show ip route on BranchR lists only directly connected networks (172.16.1.0/24 and 192.168.100.0/30); 172.16.5.0/24 is absent. The next hop 192.168.100.1 is reachable, ruling out a Layer 1/2 fault.",show ip route on HQR to confirm reciprocal route exists,ip route 172.16.5.0 255.255.255.0 192.168.100.1 on BranchR,show ip route; ping 172.16.5.10 from BranchR,Easy,active,seed,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,NetSage AI Course Dataset
OSPF-001,OSPF routes to remote LAN missing after new router added,"After R3 was added to the network, hosts on R3's LAN (192.168.30.0/24) cannot be reached from R1's LAN. R1 and R2 still route to each other fine.","R1, R2, and R3 all run OSPF area 0. R2-R3 link is 10.0.23.0/30. R3's LAN is 192.168.30.0/24 on Gi0/0.","R2# show ip ospf neighbor
Neighbor ID     Pri   State           Dead Time   Address         Interface
1.1.1.1           1   FULL/BDR        00:00:38    10.0.12.1       Gi0/0

R3# show ip ospf neighbor
% No OSPF neighbors found

R3# show run | section router ospf
router ospf 1
 network 192.168.30.0 0.0.0.255 area 0
","R3's OSPF process only advertises its LAN network; the 10.0.23.0/30 transit link to R2 was never added to the OSPF network statements, so no adjacency forms with R2 and 192.168.30.0/24 is never learned by R1 or R2.",Layer 3,Dynamic Routing,High,"R3 shows no OSPF neighbors at all, and its ospf config only contains a network statement for 192.168.30.0/24, missing the 10.0.23.0/30 link to R2.",show ip interface brief on R3 to confirm the R2-facing interface is up,Add 'network 10.0.23.0 0.0.0.3 area 0' under router ospf 1 on R3,show ip ospf neighbor on R3; show ip route ospf on R1,Medium,active,seed,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,NetSage AI Course Dataset
ACL-001,Admin workstation locked out of router SSH after ACL change,"The network admin can no longer SSH into R1 from the admin workstation (10.10.1.50), though the workstation can ping R1's interface fine.","R1's VTY lines reference access-class MGMT-ACL, intended to permit only the admin subnet 10.10.1.0/24.","R1# show access-lists MGMT-ACL
Standard IP access list MGMT-ACL
    10 deny   10.10.1.0 0.0.0.255
    20 permit any

R1# show run | section line vty
line vty 0 4
 access-class MGMT-ACL in
 transport input ssh
","MGMT-ACL denies the admin subnet 10.10.1.0/24 (line 10) and permits everyone else (line 20) - the permit/deny logic is inverted from what was intended, blocking exactly the admin workstation that should have access.",Layer 4,ACL,High,"show access-lists MGMT-ACL shows an explicit deny for 10.10.1.0/24 ahead of a permit any, and this ACL is applied inbound on the VTY lines used for SSH.",show access-lists MGMT-ACL (already sufficient; verify no other ACL on the ingress interface),"Rewrite MGMT-ACL: permit 10.10.1.0 0.0.0.255 then deny any, or explicitly permit the admin subnet before any deny statement.",ssh to R1 from 10.10.1.50; show access-lists MGMT-ACL for updated hit counters,Medium,active,seed,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,NetSage AI Course Dataset
NAT-001,Only one internal host can reach the internet at a time,"PC1 can browse the internet, but as soon as PC1 is active, PC2 and PC3 (same inside network) cannot get any external pages to load, even though they can ping the ISP-facing interface.",R1 connects the inside network 192.168.1.0/24 to the ISP via Gi0/1 (203.0.113.10). PAT/overload was intended for all inside hosts.,"R1# show ip nat translations
Pro Inside global      Inside local       Outside local      Outside global
--- 203.0.113.10       192.168.1.10       -                  -

R1# show run | section ip nat
ip nat inside source static 192.168.1.10 203.0.113.10
interface GigabitEthernet0/0
 ip nat inside
interface GigabitEthernet0/1
 ip nat outside
","Only a single static NAT translation exists (192.168.1.10 to 203.0.113.10). There is no 'ip nat inside source list ... interface Gi0/1 overload' statement, so no other inside host can be translated and reach the internet.",Layer 3,NAT,High,show ip nat translations lists only one static entry for 192.168.1.10; the running-config has a static NAT line but no overload/PAT pool or access-list based dynamic NAT for the rest of 192.168.1.0/24.,show access-lists (to see if a NAT-eligible ACL already exists),Add: access-list 1 permit 192.168.1.0 0.0.0.255; ip nat inside source list 1 interface GigabitEthernet0/1 overload,show ip nat translations while PC2 and PC3 browse simultaneously,Medium,active,seed,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,NetSage AI Course Dataset
TRUNK-001,VLAN 10 users on SW2 cannot reach VLAN 10 users on SW1,"PCs in VLAN 10 on SW1 can talk to each other, and PCs in VLAN 10 on SW2 can talk to each other, but VLAN 10 traffic does not cross between the two switches.","SW1 Gi0/1 and SW2 Gi0/1 are connected directly and are meant to form an 802.1Q trunk carrying VLANs 10, 20, 30.","SW1# show interfaces trunk
Port        Mode             Encapsulation  Status        Native vlan
Gi0/1       on               802.1q         trunking      1

SW2# show interfaces trunk
(no output - no trunking interfaces found)

SW2# show interfaces gi0/1 switchport
Name: Gi0/1
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Access Mode VLAN: 1 (default)
","SW2's Gi0/1 is configured as a static access port in VLAN 1, not as a trunk. SW1's side is correctly trunking, but a trunk requires both ends to agree; SW2 is only forwarding VLAN 1 traffic on that link, so VLAN 10/20/30 frames from SW1 are dropped at SW2.",Layer 2,Trunking,High,"show interfaces trunk on SW2 returns no trunking ports at all, and show interfaces gi0/1 switchport confirms Gi0/1 is in static access mode on VLAN 1, while SW1's Gi0/1 is already trunking.",show cdp neighbors to confirm SW1-SW2 are directly connected on the expected ports,On SW2 Gi0/1: switchport trunk encapsulation dot1q; switchport mode trunk,show interfaces trunk on both switches; ping across VLAN 10 between switches,Easy,active,seed,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,NetSage AI Course Dataset
IFACE-001,Entire remote office offline after maintenance window,"No device at the remote office can reach anything, including each other through the router. The office lost connectivity right after a scheduled maintenance change.",RemoteR's LAN-facing interface Gi0/0 serves the office subnet 192.168.50.0/24.,"RemoteR# show ip interface brief
Interface              IP-Address      OK? Method Status                  Protocol
GigabitEthernet0/0     192.168.50.1    YES manual administratively down   down
GigabitEthernet0/1     203.0.113.5     YES manual up                      up
","GigabitEthernet0/0, the LAN interface for the office subnet, is administratively down - almost certainly left shut during the maintenance window and never re-enabled.",Layer 1,Interface State,Critical,"show ip interface brief shows Gi0/0 status as 'administratively down', while Gi0/1 (the WAN-facing side) is up/up, isolating the pattern to the LAN interface only.",show running-config interface gi0/0 to confirm no other issues before re-enabling,interface GigabitEthernet0/0; no shutdown,show ip interface brief; ping 192.168.50.1 from an office PC,Easy,active,seed,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,NetSage AI Course Dataset
